"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","id","bioid","name","gender","type","party","facebook","youtube"
"petesessions","24735461","PeteSessions","Pete Sessions","I proudly represent the people of Texas' 32nd Congressional District and serve as the Chairman of the House Committee on Rules.",18656,4707,811,"Mon Mar 16 17:54:52 +0000 2009","","01525","S000250","Pete Sessions","M","Congress","Republican","petesessions","PeteSessions"
"politico","9300262","politico","POLITICO","Nobody knows politics like POLITICO.",1741746,176310,1229,"Mon Oct 08 00:29:38 +0000 2007","Washington, D.C.",NA,NA,NA,NA,"Media Outlets",NA,NA,NA
"potus","1536791610","POTUS","President Obama","Dad, husband, and 44th President of the United States. Tweets may be archived: http://t.co/eVVzoATsAR.",9351401,278,72,"Fri Jun 21 16:02:21 +0000 2013","Washington, D.C.",NA,NA,NA,NA,"Other Politicians",NA,NA,NA
"randcorporation","22545453","RANDCorporation","RAND Corporation","RAND helps improve policy and decisionmaking through research and analysis. RAND is nonprofit, nonpartisan, and committed to the public interest.",109511,20177,768,"Mon Mar 02 22:30:05 +0000 2009","Santa Monica, California",NA,NA,NA,NA,"Interest groups",NA,NA,NA
"randy_forbes","15160884","Randy_Forbes","Randy Forbes","Representing Virginia's Fourth Congressional District. (Following a group or person does not indicate support or endorsement of their beliefs or opinions.)",18025,3317,4896,"Wed Jun 18 18:32:37 +0000 2008","Virginia, USA","01683","F000445","J. Randy Forbes","M","Congress","Republican","randyforbes","RepRandyForbes"
"randyneugebauer","34340464","RandyNeugebauer","Randy Neugebauer","Proudly representing the 19th District of Texas, which stretches across 29 counties in West Texas and the Big Country.",12252,3797,3183,"Wed Apr 22 17:46:22 +0000 2009","Lubbock, TX","01758","N000182","Randy Neugebauer","M","Congress","Republican","rep.randy.neugebauer","RandyNeugebauer"
"raul_labrador","246341769","Raul_Labrador","Raúl R. Labrador","Proudly serving Idaho's beautiful 1st Congressional District.",11070,1402,609,"Wed Feb 02 16:26:52 +0000 2011","Eagle, Idaho","02011","L000573","Raúl R. Labrador","M","Congress","Republican","raul.r.labrador","RepLabrador"
"realdonaldtrump","25073877","realDonaldTrump","Donald J. Trump","#TrumpPence16 @Mike_Pence",10237354,32687,44,"Wed Mar 18 13:46:38 +0000 2009","New York, NY",NA,NA,NA,NA,"Primary Candidate","Republican",NA,NA
"rep_devinnunes","344972339","Rep_DevinNunes","Rep. Devin Nunes","",1293,95,15,"Fri Jul 29 21:40:22 +0000 2011","Washington, DC","01710","N000181","Devin Nunes","M","Congress","Republican",NA,"RepDevinNunes"
"rep_hunter","1305596696","Rep_Hunter","Rep. Duncan Hunter","Representing California’s 50th District",7979,286,242,"Tue Mar 26 21:04:26 +0000 2013","","01909","H001048","Duncan Hunter","M","Congress","Republican","DuncanHunter","CongressmanHunter"
"rep_janicehahn","339852137","Rep_JaniceHahn","Janice Hahn","Proudly representing California's 44th District in Congress",9806,3717,1696,"Thu Jul 21 19:22:22 +0000 2011","San Pedro, CA","02089","H001063","Janice Hahn","F","Congress","Democrat","RepJaniceHahn","RepJaniceHahn"
"rep_stevewomack","234469322","rep_stevewomack","Rep. Steve Womack","Proud to serve the folks of Arkansas's 3rd District. Follow me on Facebook:  http://t.co/po5GaonDqA",10586,3743,1164,"Wed Jan 05 18:53:03 +0000 2011","Arkansas's 3rd District","01991","W000809","Steve Womack","M","Congress","Republican","RepSteveWomack","CongressmanWomack"
"repabraham","2962891515","RepAbraham","Rep. Ralph Abraham","Proudly representing Louisiana's 5th District. Rural family physician, veteran, farmer, pilot, former veterinarian, husband, father & grandfather.",2354,220,96,"Mon Jan 05 23:01:54 +0000 2015","","02244","A000374","Ralph Lee Abraham","M","Congress","Republican","CongressmanRalphAbraham",NA
"repadams","2916086925","RepAdams","Alma S. Adams","Congresswoman. Educator. Artist.",3332,1529,743,"Thu Dec 11 19:54:07 +0000 2014","","02201","A000370","Alma S. Adams","F","Congress","Democrat","CongresswomanAdams",NA
"repadamschiff","29501253","RepAdamSchiff","Adam Schiff","Representing California's 28th Congressional District and Ranking Member of the House Intelligence Committee.",20447,3163,1686,"Tue Apr 07 17:54:35 +0000 2009","Burbank, CA","01635","S001150","Adam B. Schiff","M","Congress","Democrat","RepAdamSchiff","adamschiff"
"repadamsmith","58928690","RepAdamSmith","Rep. Adam Smith","Proudly serving Washington State's 9th District. Ranking Member of the House Armed Services Committee @HASCDemocrats",13407,1856,1417,"Tue Jul 21 21:31:55 +0000 2009","Washington's 9th District","01528","S000510","Adam Smith","M","Congress","Democrat","RepAdamSmith","CongressmanAdamSmith"
"repadriansmith","296245061","RepAdrianSmith","Rep. Adrian Smith","Proudly serving the 3rd District of Nebraska in the U.S. House of Representatives",5085,2157,269,"Tue May 10 12:52:01 +0000 2011","Gering, NE / Washington, DC","01860","S001172","Adrian Smith","M","Congress","Republican",NA,"RepAdrianSmith"
"repalexmooney","2964526557","RepAlexMooney","Rep. Alex Mooney","Official account for Congressman Alex Mooney representing the 2nd district of West Virginia.  Serving on the Natural Resources and Budget House Committees.",2769,688,421,"Tue Jan 06 17:13:10 +0000 2015","","02277","M001195","Alexander X. Mooney","M","Congress","Republican","CongressmanAlexMooney",NA
"repalgreen","156333623","RepAlGreen","Congressman Al Green","Proud to represent the Ninth Congressional District of Texas in the United States House of Representatives.",11610,610,260,"Wed Jun 16 17:20:23 +0000 2010","Houston, TX","01803","G000553","Al Green","M","Congress","Democrat","repalgreen","RepAlGreen"
"repamata","3026622545","RepAmata","Congresswoman Amata","Congresswoman Representing American Samoa",452,1,0,"Mon Feb 09 16:00:36 +0000 2015","Washington, D.C.","02222","R000600","Aumua Amata Coleman Radewagen","F","Congress","Republican","congresswomanaumuaamata",NA
"repandrecarson","199325935","RepAndreCarson","André Carson","The official Twitter account for Congressman André Carson of Indiana's 7th District. #Indianapolis #Indy",14436,2828,885,"Wed Oct 06 15:47:50 +0000 2010","Indianapolis","01889","C001072","André Carson","M","Congress","Democrat","CongressmanAndreCarson","repandrecarson"
"repandybarr","1089334250","RepAndyBarr","Rep. Andy Barr","Honored to represent Kentucky's Sixth Congressional District.  Fighting to get Kentuckians back to work and restore fiscal responsibility to Washington",7693,2282,1186,"Mon Jan 14 15:29:49 +0000 2013","Lexington, KY","02131","B001282","Andy Barr","M","Congress","Republican","RepAndyBarr","RepAndyBarr"
"repandyharrismd","960962340","RepAndyHarrisMD","Rep. Andy Harris, MD","Proud to serve the people of MD-1; Anesthesiologist; Father to Joe, Becky, Irene, Jessica, & Danny; Grandfather to Charles, Abigail, & Arthur.",6116,2380,586,"Tue Nov 20 18:31:27 +0000 2012","Maryland's First District","02026","H001052","Andy Harris","M","Congress","Republican","AndyHarrisMD","RepAndyHarris"
"repannaeshoo","249348006","RepAnnaEshoo","Rep. Anna G. Eshoo","Representing California's 18th Congressional District--the heart of Silicon Valley. Ranking Member of the Communications and Technology Subcommittee.",12927,1258,746,"Tue Feb 08 21:36:03 +0000 2011","Palo Alto, CA","00355","E000215","Anna G. Eshoo","F","Congress","Democrat","RepAnnaEshoo","RepAnnaEshoo"
"repanniekuster","1058717720","RepAnnieKuster","Ann McLane Kuster","Honored to serve the people of New Hampshire’s Second District in Congress.",8114,1817,3092,"Thu Jan 03 20:29:22 +0000 2013","NH's 2nd District","02145","K000382","Ann M. Kuster","F","Congress","Democrat","CongresswomanAnnieKuster","RepKuster"
"repannwagner","1051446626","RepAnnWagner","Ann Wagner","Official Twitter account for Congresswoman Ann Wagner-- proudly Representing the 2nd Congressional District of Missouri
http://t.co/ozYKLyoI",9279,2115,2761,"Tue Jan 01 00:01:45 +0000 2013","Ballwin, MO","02137","W000812","Ann Wagner","F","Congress","Republican","RepAnnWagner",NA
"repbarbaralee","248735463","RepBarbaraLee","Rep. Barbara Lee","Progressive Democrat proudly representing the #EastBay CA-13 in Congress. Working to promote economic & racial justice, peace & human rights in the US & abroad.",37568,5135,16581,"Mon Feb 07 16:28:28 +0000 2011","Washington, DC and Oakland, CA","01501","L000551","Barbara Lee","F","Congress","Democrat","RepBarbaraLee","RepLee"
"repbeatty","1531521632","RepBeatty","Joyce Beatty","Official Twitter account for Congresswoman Joyce Beatty, representing Ohio's Third Congressional District in the U.S. House of Representatives.",7890,3756,1218,"Wed Jun 19 17:47:09 +0000 2013","Ohio's Third District","02153","B001281","Joyce Beatty","F","Congress","Democrat","RepJoyceBeatty",NA
"repbecerra","133832049","RepBecerra","Xavier Becerra","Chairman of the @HouseDemocrats. Proudly representing California's 34th Congressional District.",25274,2781,1886,"Fri Apr 16 19:04:13 +0000 2010","Los Angeles, CA","00070","B000287","Xavier Becerra","M","Congress","Democrat","XavierBecerra","XavierBecerra"
"repbenraylujan","19318314","repbenraylujan","Ben Ray Lujan","Proudly Representing New Mexico’s 3rd Congressional District. @EnergyCommerce Committee, and Member of @HispanicCaucus. Follows, replies & RTs ≠ endorsement.",10790,1250,381,"Thu Jan 22 01:00:32 +0000 2009","","01939","L000570","Ben Ray Luján","M","Congress","Democrat","RepBenRayLujan","Repbenraylujan"
"repbera","950783972","RepBera","Congressman Ami Bera","Ami Bera M.D., representing Sacramento County, California #CA7 in the U.S. House of Representatives.",10318,1900,116,"Fri Nov 16 01:39:54 +0000 2012","Elk Grove, California","02102","B001287","Ami Bera","M","Congress","Democrat","RepAmiBera","repamibera"
"repbetoorourke","1134292500","RepBetoORourke","Rep. Beto O'Rourke","US Congress - El Paso",15821,3313,216,"Wed Jan 30 14:52:51 +0000 2013","El Paso, TX","02162","O000170","Beto O'Rourke","M","Congress","Democrat","betoorourketx16","betoorourketx16"
"repbillflores","237312687","RepBillFlores","Rep. Bill Flores","I am working hard for Texas families in District 17 to rebuild our national security, improve economic opportunity, and protect our Constitutional liberties.",11284,5393,2291,"Wed Jan 12 15:20:23 +0000 2011","17th District of Texas","02065","F000461","Bill Flores","M","Congress","Republican","RepBillFlores","RepBillFlores"
"repbillfoster","1080509366","RepBillFoster","Bill Foster","Congressman Bill Foster is a scientist and businessman representing the 11th Congressional District of Illinois",6898,2084,1946,"Fri Jan 11 18:17:11 +0000 2013","Naperville, IL ","01888","F000454","Bill Foster","M","Congress","Democrat","CongressmanBillFoster","RepBillFoster"
"repbilljohnson","211530910","RepBillJohnson","Bill Johnson","Proudly representing #Ohio's 6th Congressional District. Energy Enthusiast. Veteran. Husband. Father. Grandfather.",13903,4109,814,"Wed Nov 03 14:33:04 +0000 2010","Eastern/Southeastern Ohio","02046","J000292","Bill Johnson","M","Congress","Republican","RepBillJohnson","RepBillJohnson"
"repbillshuster","22527499","RepBillShuster","Bill Shuster","Member of Congress and Chairman of the House Transportation & Infrastructure Committee. Proudly representing the people of PA's 9th district.",13557,2963,895,"Mon Mar 02 20:04:02 +0000 2009","Hollidaysburg, PA","01681","S001154","Bill Shuster","M","Congress","Republican","Rep.Shuster","repshuster"
"repblainepress","1849261916","RepBlainePress","Blaine Luetkemeyer","Congressman from Missouri's 3rd Congressional District, Member of the House Financial Services and Small Business Committees",2784,1179,222,"Mon Sep 09 19:53:08 +0000 2013","Missouri's 3rd District","01931","L000569","Blaine Luetkemeyer","M","Congress","Republican","BlaineLuetkemeyer","BLuetkemeyer"
"repbobbyrush","305216911","RepBobbyRush","Bobby L. Rush","The official twitter account of Rep. Bobby L. Rush.  For official policy please see http://t.co/biKpeeMhCz.  RT does NOT constitute an endorsement.",7340,769,169,"Wed May 25 20:59:25 +0000 2011","D.C./Chicago & SW Suburbs","01003","R000515","Bobby L. Rush","M","Congress","Democrat","congressmanbobbyrush","CongressmanRush"
"repbobbyscott","161791703","repbobbyscott","Rep. Bobby Scott","Proudly representing Virginia's 3rd Congressional District. Ranking Member, Committee on Education and the Workforce @edworkforcedems.",13667,2905,2358,"Thu Jul 01 19:57:00 +0000 2010","Newport News, VA","01037","S000185","Robert C. ""Bobby"" Scott","M","Congress","Democrat","CongressmanBobbyScott","repbobbyscott"
"repbobgibbs","234822928","RepBobGibbs","Rep. Bob Gibbs","R-OH; Chairman, T&I Subcommittee on Water Resources and Environment; Agriculture Comm; http://t.co/sXrcqLkW2r",13100,2533,2958,"Thu Jan 06 17:17:21 +0000 2011","US Congress","02049","G000563","Bob Gibbs","M","Congress","Republican","RepBobGibbs","RepBobGibbs"
"repbonamici","558769636","RepBonamici","Suzanne Bonamici","Honored to represent Oregon's First Congressional District.",7365,1376,985,"Fri Apr 20 16:30:32 +0000 2012","","02092","B001278","Suzanne Bonamici","F","Congress","Democrat","congresswomanbonamici","RepSuzanneBonamici"
"repbost","2964877294","RepBost","Rep. Mike Bost","",1941,560,46,"Tue Jan 06 19:55:08 +0000 2015","IL-12 Congressional District ","02243","B001295","Mike Bost","M","Congress","Republican","RepBost",NA
"repboustany","249339682","RepBoustany","Charles Boustany","South Louisiana's voice on Capitol Hill. Jobs. Energy. Healthcare. Low Taxes. Veterans. #LA03 @WaysandMeansGOP",8138,1338,742,"Tue Feb 08 21:15:08 +0000 2011","Washington, DC/South Louisiana","01787","B001255","Charles W. Boustany Jr.","M","Congress","Republican","RepBoustany","boustanyla07"
"repbradashford","2964351843","RepBradAshford","Brad Ashford","Proudly Representing Nebraska's 2nd Congressional District",4390,3074,675,"Tue Jan 06 15:51:29 +0000 2015","","02257","A000373","Brad Ashford","M","Congress","Democrat","RepBradAshford",NA
"repbradwenstrup","518644221","RepBradWenstrup","Brad Wenstrup","US Representative for the people of Ohio's 2nd District, Physician, Army Reservist, Dad, Lifelong Ohioan",5863,3901,952,"Thu Mar 08 16:25:14 +0000 2012","","02152","W000815","Brad R. Wenstrup","M","Congress","Republican","RepBradWenstrup","repbradwenstrup"
"repbrady","148453195","RepBrady","Bob Brady","Proudly representing Pennsylvania's 1st District in House of Representatives.  Born & Raised in Philadelphia.  Fighting for Equality and Democracy.",8058,597,689,"Wed May 26 18:53:52 +0000 2010","Philly - Delco - DC","01469","B001227","Robert A. Brady","M","Congress","Democrat","RepRobertBrady","BradyPA01"
"repbrendanboyle","231108733","RepBrendanBoyle","Brendan Boyle","Member of Congress for Pennsylvania's 13th Congressional District; personal Twitter account",4226,3354,575,"Mon Dec 27 16:31:09 +0000 2010","Philadelphia and Washington","02267","B001296","Brendan F. Boyle","M","Congress","Democrat","CongressmanBoyle",NA
"repbrianbabin","2929491549","RepBrianBabin","Brian Babin","Honored to serve citizens of #TX36 in U.S. Congress. Chairman of @HouseScience Space Subcommittee and Member of House @Transport Committee.",2982,1161,533,"Thu Dec 18 13:28:53 +0000 2014","","02270","B001291","Brian Babin","M","Congress","Republican","RepBrianBabin",NA
"repbrianhiggins","33576489","RepBrianHiggins","Brian Higgins","Official account for the Office of Congressman Brian Higgins (NY-26) representing portions of Erie and Niagara counties. http://t.co/Cpl0TlH2JW",15764,10401,3055,"Mon Apr 20 16:47:06 +0000 2009","WNY and Washington, DC","01794","H001038","Brian Higgins","M","Congress","Democrat","RepBrianHiggins","CongressmanHiggins"
"repbuddycarter","2973870195","RepBuddyCarter","Buddy Carter","Proudly serving Georgia's 1st Congressional District",2778,596,244,"Mon Jan 12 00:33:43 +0000 2015","","02236","C001103","Earl L. ""Buddy"" Carter","M","Congress","Republican","congressmanbuddycarter",NA
"repbyrne","2253968388","RepByrne","Rep. Bradley Byrne","I am proud to represent Alabama's First Congressional District in the U.S. House of Representatives.",7571,7045,2991,"Thu Dec 19 19:42:18 +0000 2013","Southwest Alabama","02197","B001289","Bradley Byrne","M","Congress","Republican","RepByrne",NA
"repcardenas","1222257180","RepCardenas","Rep. Tony Cárdenas","U.S. Congressman proudly representing California's 29th Congressional District - the San Fernando Valley.",6618,5788,1291,"Tue Feb 26 16:12:35 +0000 2013","San Fernando Valley, CA","02107","C001097","Tony Cárdenas","M","Congress","Democrat","repcardenas","repcardenas"
"repcartwright","776664410","RepCartwright","Matt Cartwright","Proudly representing Pennsylvania's 17th Congressional District. For more information, please use my official website: http://t.co/hAzCwXG9",5381,1824,1573,"Thu Aug 23 20:05:56 +0000 2012","Moosic, PA","02159","C001090","Matt Cartwright","M","Congress","Democrat","CongressmanMattCartwright",NA
"repcheri","1092979962","RepCheri","Rep. Cheri Bustos","Representing the great people of the 17th District of Illinois in the U.S. House of Representatives. Snapchat: RepCheri",12084,1719,6766,"Tue Jan 15 19:15:03 +0000 2013","Washington, D.C. & Illinois","02127","B001286","Cheri Bustos","F","Congress","Democrat","RepCheri","RepCheri"
"repchriscollins","1058256326","RepChrisCollins","Rep. Chris Collins","Proud to represent New York’s 27th Congressional District. Focused on less spending in Washington and more jobs in America. Member of @HouseCommerce",6606,2591,456,"Thu Jan 03 16:55:01 +0000 2013","","02151","C001092","Chris Collins","M","Congress","Republican","RepChrisCollins","RepChrisCollins"
"repchrisgibson","234937222","RepChrisGibson","Chris Gibson","Congressman for New York's 19th Congressional District, Army Veteran, Member of the House Agriculture and Armed Services Committees",9730,1609,200,"Thu Jan 06 23:23:12 +0000 2011","Kinderhook, NY","02043","G000564","Christopher P. Gibson","M","Congress","Republican","RepChrisGibson","repchrisgibson"
"repchrissmith","1289319271","RepChrisSmith","Rep. Chris Smith","Proud to represent the 4th Congressional District of New Jersey

https://t.co/dYj7YzIRtq",5168,754,134,"Fri Mar 22 18:03:53 +0000 2013","","01071","S000522","Christopher H. Smith","M","Congress","Republican","RepChrisSmith","USRepChrisSmith"
"repchrisstewart","1072008757","RepChrisStewart","Rep. Chris Stewart","Utah's 2nd District Congressman. Former Air Force B-1 pilot, author, House Intelligence & Appropriations Committees. Visit http://t.co/GUW6weAva6",4738,2110,948,"Tue Jan 08 21:08:19 +0000 2013","Utah and DC","02168","S001192","Chris Stewart","M","Congress","Republican","RepChrisStewart","repchrisstewart"
"repchuck","235190657","RepChuck","Chuck Fleischmann","My official House office Twitter account. I work for the people of TN-03.",7962,1531,612,"Fri Jan 07 15:46:29 +0000 2011","Washington, D.C./TN-03","02061","F000459","Charles J. ""Chuck"" Fleischmann","M","Congress","Republican","repchuck","repchuck"
"repcicilline","462143773","RepCicilline","((David Cicilline))","Tweets from the press office of Congressman David N. Cicilline (D-RI).",4553,2599,1224,"Thu Jan 12 16:26:40 +0000 2012","Pawtucket/Washington","02055","C001084","David N. Cicilline","M","Congress","Democrat","CongressmanDavidCicilline","RepDavidCicilline"
"repcleaver","163570705","repcleaver","Rep. Emanuel Cleaver","This is the official Twitter page of Congressman Emanuel Cleaver, II, representing Missouri's Fifth District.",17381,3809,825,"Tue Jul 06 19:14:47 +0000 2010","","01790","C001061","Emanuel Cleaver","M","Congress","Democrat","emanuelcleaverii","repcleaver"
"repcohen","162069635","RepCohen","Steve Cohen","Congress TN-9 Memphis. Committees: Judiciary&Transport; Supporter of civil rights/liberties/women&minority issues/animal welfare. Father of TN Educ Lottery: Dem",14774,4793,472,"Fri Jul 02 15:10:21 +0000 2010","Memphis, TN and Washington, DC","01878","C001068","Steve Cohen","M","Congress","Democrat","CongressmanSteveCohen","repcohen"
"repcomstock","2933760046","RepComstock","Barbara Comstock","Honored To Represent Virginia’s 10th Congressional District. Attorney • Legislator • Mom",3934,1472,613,"Sat Dec 20 15:03:37 +0000 2014","Virginia's 10th CD","02273","C001105","Barbara Comstock","F","Congress","Republican","RepBarbaraComstock",NA
"repcorrinebrown","292935209","RepCorrineBrown","Corrine Brown","I have served in the U.S. House of Representatives since 1992. My district includes Jacksonville, Gainesville and Orlando.",10547,1215,263,"Wed May 04 13:48:56 +0000 2011","Jacksonville","00132","B000911","Corrine Brown","F","Congress","Democrat","congresswomanbrown","CongresswomanBrown"
"repcuellar","210926192","RepCuellar","Rep. Henry Cuellar","Serving the 28th District of Texas in U.S. House of Representatives",12126,3860,2072,"Mon Nov 01 20:20:17 +0000 2010","Laredo, Texas / Washington DC","01807","C001063","Henry Cuellar","M","Congress","Democrat","152569121550","henrycuellar"
"repcummings","787373558","RepCummings","Elijah E. Cummings","U.S. Representative from Maryland's 7th District, dedicated to serving and empowering the people I’m sworn to represent. RT's and Follows are not endorsements.",23234,3983,1586,"Tue Aug 28 16:37:01 +0000 2012","Baltimore, MD","00256","C000984","Elijah E. Cummings","M","Congress","Democrat","elijahcummings","ElijahECummings"
"repcurbelo","2853309155","RepCurbelo","Rep. Carlos Curbelo","Representing Florida's 26th Congressional District, Husband, Dad, Catholic, Son of Cuban exiles, GOP, UM gradx2, Belen Jesuit",5852,1402,194,"Fri Oct 31 14:01:43 +0000 2014","","02235","C001107","Carlos Curbelo","M","Congress","Republican","repcurbelo",NA
"repcurtclawson","2730150631","RepCurtClawson","Rep. Curt Clawson","Member of Congress (FL-19)",2547,1123,79,"Wed Aug 13 19:15:51 +0000 2014","Bonita Springs, FL","02200","C001102","Curt Clawson","M","Congress","Republican","RepCurtClawson",NA
"repdandonovan","3353670647","RepDanDonovan","Dan Donovan","Representing Staten Island and Brooklyn in NY's 11th Congressional District",659,688,227,"Wed Jul 01 19:06:08 +0000 2015","Staten Island, NY","02293","D000625","Daniel M. Donovan Jr.","M","Congress","Republican","Rep-Daniel-M-Donovan-867632656644580",NA
"repdankildee","1045110018","RepDanKildee","Rep. Dan Kildee","Honored to represent Michigan's Fifth Congressional District. Born and raised in Flint. Proud husband, father and grandfather.",18342,3155,1158,"Sat Dec 29 15:05:47 +0000 2012","Michigan and Washington, D.C.","02134","K000380","Daniel T. Kildee","M","Congress","Democrat","RepDanKildee","RepDanKildee"
"repdannydavis","789244177","RepDannyDavis","Rep. Danny Davis","US House Representative for Illinois' 7th Congressional District.
Serving on the Committee on Ways and Means.
Following/retweeting does not equal endorsement.",2847,529,328,"Wed Aug 29 12:31:09 +0000 2012","Chicago, IL","01477","D000096","Danny K. Davis","M","Congress","Democrat","280757931935749","dannykdavis07"
"repdavebrat","2560169238","RepDaveBrat","Rep. Dave Brat","Proudly serving Virginia's Seventh Congressional District #VA07. I sit on the House Committees on the Budget, @EdWorkforce, and the  @HouseSmallBiz",3737,1163,708,"Wed Jun 11 00:22:04 +0000 2014","Washington, DC","02203","B001290","Dave Brat","M","Congress","Republican","RepDaveBrat",NA
"repdavejoyce","976969338","RepDaveJoyce","Dave Joyce","Father, husband, and former prosecutor proudly representing #OH14",5599,2684,2482,"Wed Nov 28 21:12:14 +0000 2012"," Washington, DC","02154","J000295","David P. Joyce","M","Congress","Republican","RepDaveJoyce","repdavejoyce"
"repdavetrott","2869746172","repdavetrott","Rep. Dave Trott","U.S. Representative for Michigan's 11th Congressional District.
A Leader Southeast Michigan Can Rely On",2446,176,45,"Sun Nov 09 22:42:17 +0000 2014","","02250","T000475","David A. Trott","M","Congress","Republican","CongressmanDaveTrott",NA
"repdavid","229197216","RepDavid","Rep David Schweikert","Avid hiker and coffee enthusiast who is proud to represent Arizona's 6th Congressional District in the U.S. House of Representatives.",12667,3211,1954,"Tue Dec 21 19:48:02 +0000 2010","Arizona","01994","S001183","David Schweikert","M","Congress","Republican","repdavidschweikert","RepDavidSchweikert"
"repdavideprice","155669457","RepDavidEPrice","David E. Price","I represent NC's 4th Congressional District, which includes parts of Alamance, Orange, Durham, Wake, Harnett, Chatham & Cumberland counties.",9447,2376,2355,"Mon Jun 14 19:44:06 +0000 2010","","00930","P000523","David E. Price","M","Congress","Democrat",NA,"RepDavidPrice"
"repdavidrouzer","834069080","RepDavidRouzer","David Rouzer","Congressman from North Carolina's 7th Congressional district",2256,401,390,"Wed Sep 19 20:23:15 +0000 2012","","02256","R000603","David Rouzer","M","Congress","Republican","1579216395649220",NA
"repdavidscott","168673083","repdavidscott","David Scott","Representing Georgia's 13th Congressional District including Cobb, Douglas, Fayette, Fulton, Clayton, and Henry Counties.",9937,2278,1549,"Tue Jul 20 14:10:32 +0000 2010","Georgia","01722","S001157","David Scott","M","Congress","Democrat","113303673339","RepDavidScott"
"repdavidvaladao","1128514404","RepDavidValadao","Rep. David Valadao","Proudly Representing California's 21st Congressional District.",5198,654,335,"Mon Jan 28 16:19:14 +0000 2013","Hanford, California","02105","V000129","David G. Valadao","M","Congress","Republican","CongressmanDavidValadao","congressmanvaladao"
"repdavidyoung","314205957","RepDavidYoung","David Young","Official account of U.S. Congressman David Young, proudly representing all the people in Iowa's 3rd Congressional District. #IA03",3750,2479,706,"Thu Jun 09 21:48:45 +0000 2011","Van Meter, Iowa","02242","Y000066","David Young","M","Congress","Republican","RepDavidYoung",NA
"repdebdingell","2970279814","RepDebDingell","Rep. Debbie Dingell","Proudly serving the people of Michigan's 12th Congressional District.
http://t.co/e7qwdRk0zg
http://t.co/q9q7Jj0s26",10642,1090,5380,"Fri Jan 09 19:15:50 +0000 2015","Washington, DC","02251","D000624","Debbie Dingell","F","Congress","Democrat","RepDebbieDingell",NA
"repdelbene","995193054","RepDelBene","Rep. Suzan DelBene","U.S. Congresswoman representing Washington's 1st Congressional district",9145,2648,1040,"Fri Dec 07 14:40:48 +0000 2012","","02096","D000617","Suzan K. DelBene","F","Congress","Democrat","RepDelBene",NA
"repdennisross","33655490","RepDennisRoss","Dennis Ross","Husband, Father, and Conservative Republican Congressman serving Florida's 15th Congressional District. https://t.co/IXwSnVOJw5",10197,12244,1434,"Mon Apr 20 20:43:13 +0000 2009","Central Florida and Tampa Bay","02003","R000593","Dennis A. Ross","M","Congress","Republican","dennis.ross.376","RepDennisRoss"
"repdennyheck","1068499286","RepDennyHeck","Denny Heck","Proudly representing #WA10 in U.S. Congress. Husband, (gran)dad, @GonzagaBulldogs fan & #12thMan. Care about veterans, family-wage jobs & economic growth.",5225,2227,1086,"Mon Jan 07 14:55:36 +0000 2013","South Puget Sound, WA","02170","H001064","Denny Heck","M","Congress","Democrat","CongressmanDennyHeck","RepDennyHeck"
"repderekkilmer","1058917562","RepDerekKilmer","Rep. Derek Kilmer","Representing Washington's 6th District in the House of Representatives           FB: https://t.co/byKNKNH1UP",7235,1311,128,"Thu Jan 03 22:15:02 +0000 2013","","02169","K000381","Derek Kilmer","M","Congress","Democrat","derek.kilmer",NA
"repdesantis","1058807868","RepDeSantis","Ron DeSantis","The Official Twitter account for Congressman DeSantis. Proudly representing Florida's 6th District. Stay connected through Facebook at http://t.co/WKpKHHXK!",9628,1775,1426,"Thu Jan 03 21:20:17 +0000 2013","","02116","D000621","Ron DeSantis","M","Congress","Republican","RepDeSantis","RepRonDeSantis"
"repdesaulnier","2968007206","RepDeSaulnier","Mark DeSaulnier","Honored to represent California's 11th Congressional District. Serving on the House Education and Workforce and Oversight and Government Reform Committees.",2414,759,305,"Thu Jan 08 15:32:13 +0000 2015","Concord, CA ","02227","D000623","Mark DeSaulnier","M","Congress","Democrat","RepMarkDeSaulnier",NA
"repdianadegette","28599820","RepDianaDeGette","Rep. Diana DeGette","Member of Congress, Colorado's 1st Congressional District. Chief Deputy Whip & member of Energy and Commerce Committee.",17504,2558,11575,"Fri Apr 03 16:41:06 +0000 2009","Denver, CO","01479","D000197","Diana DeGette","F","Congress","Democrat","DianaDeGette","RepDianaDeGette"
"repdianeblack","110545675","RepDianeBlack","Diane Black","I work for the people of Tennessee’s 6th Congressional District. Wife to Dave, mom of three, and proud Mimi to six grandchildren. Registered nurse.",13866,4431,1755,"Mon Feb 01 22:58:22 +0000 2010","Gallatin, TN","02063","B001273","Diane Black","F","Congress","Republican","DianeBlackTN06","RepDianeBlack"
"repdinatitus","122174004","repdinatitus","Dina Titus","Congresswoman proudly representing the First District of Nevada in the U.S. House of Representatives. https://t.co/g6tZzJD45q",8660,5686,1738,"Thu Mar 11 21:05:31 +0000 2010","Las Vegas, NV","01940","T000468","Dina Titus","F","Congress","Democrat","CongresswomanTitus","CongresswomanTitus"
